audioID,speakerID,gender,grade,paragraphID,manualTranscript,SNR_dB
5b38g_EN-OL-RC-538_2,5b38g,Female,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wing these look like eyes these eyes are very useful to the butterflies they help it to axe escape from its enemies a bird or a lizard which is trying to catch a butterfly mistakes these black circles for the creature's eye it aims or tries to hit the eye but all that it gets is a bit of the wing,54.77
5b29c_EN-OL-RC-538_2,5b29c,Male,5,2,if you look at the picture of butterflies you will find that many of them have large black circus on the their wings these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemies a bird of a लिज़ार्ड which is trying to catch a butterfly mistakes these black circles ओ four the क्रिएचर्स eyes it aims or tries to hit the eye but all that it gets is a bit of the wing,87.35
5a25k_EN-OL-RC-538_1,5a25k,Male,5,1,butterflies are surely some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colours of their wings if you look at a butterfly's wings through a magnifying glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings would be transparent the colours on the wings make very fine patterns,27.29
5c4b_EN-OL-RC-538_2,5c4b,Female,5,2,if you look at the pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes these these eyes are very useful to the butterfly they help it to escape from its इनेमाइज a bird or a lease result which is trying to catch a butterfly mistake these बॅ black circles for the क्रिएचस eyes it eye aims or tries to hit the eye but all that it gets it is a bit of the wing,89.27
5d51g_EN-OL-RC-538_2,5d51g,Female,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to but to the butterfly they help it to escape from its enemies a bird or a lizard which is trying to catch a butterfly mistakes these black circles of for their क्रिचर eyes it aims or tries to hit the eye but all that it gets is a bit of the wings,52.74
5b36k_EN-OL-RC-538_2,5b36k,Male,5,2,if you look at pictures butterflies you will find that many of them have large black सकस on the wing on their wings these look like eyes these eyes are very useful to the butterflies they help it you इस्केप from its इमाइस a bird or लिजाईड or लिजाईड लिजाईड which is trying to catch a butterfly miss mistakes these black circles for the क्रिएचस eyes it aims it aims or ट्रिस to इ hit the eye but all that it guess gets it is a bit of the wing,83.64
5c30b_EN-OL-RC-538_2,5c30b,Male,5,2,if you look at pictures of butterflies you फा view will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they help it to इस्केप from its इनमैस a bird or ले लिज़ार्ड which is trying to catch a butterfly mistakes these black circles for the क्रिएचर्स eyes it ऍम्स or trees to hit the eyes but all that it gets in a bit of the wing,92.05
5a21g_EN-OL-RC-538_2,5a21g,Female,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings these looks like eyes these eyes are very useful to the butterfly they help to escape from its enemies a bird or a लिजाड which is trying to catch a butterfly mistakes these black circles of the creature's eyes it aims or tries to hit the eye but all that it gets is a bit of the wing,24.42
5a49c_EN-OL-RC-538_2,5a49c,Male,5,2,if you look a pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they they help it to escape from its enemies a bird or a lizard which is trying to catch a butterfly mistakes these black circles for the creature eyes it aims or tries to hit the eye but all that it gets is a bit of the wing,80.08
5a51c_EN-OL-RC-538_2,5a51c,Female,5,2,if you look at the pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemies the bird or a lizard which is trying to catch a butterfly mistakes these black circles for the क्रिएचर्स eyes it aims or tries to hit the eye but all that it gets is a bit of the wing,58.88
5a3f_EN-OL-RC-538_1,5a3f,Female,5,1,butterflies are surely some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colour of their wings if you look at a butterflies wings through a magnifying glass you will see that they are covered with very small scales it is the scales which have colour without these scales the wings would be transparent the colours on the wings make very fine pattern,80.41
5a4j_EN-OL-RC-538_1,5a4j,Male,5,1,butterflies are सरवली some of the most beautiful क्रिएचर्स in the world they are beautiful because of the ब्रे बेरली colours of their wings if you if you look at a butterfly's wings throw a mind फुलिन्ग as ऍगली you you will see that they are कंग with very small scales it it is धी these scales which which have colour we without these scales the wings would be ट्र transparent the colours on the wings make very फाय फाई,94.22
5a44d_EN-OL-RC-538_2,5a44d,Female,5,2,if you look at a picture of a butterfly you will find that many of them have large black circles on their wings these look like eyes these eyes are very to the butterflies they help it to escape from its enemies or a लिजट which is trying catch a butterfly mistakes these black circles for the creature's eyes it aims or tries to hit the eye but all that it gets is a bit of the wing,100.0
5d13c_EN-OL-RC-538_2,5d13c,Female,5,2,if you look at picture of butterflies you will find that many of them have large black colours of their wings they look like eye these eyes are very useful to the butterfly they they help it to escape from its enemies a bird or a लिज़ार्ड which is trying to catch a butterfly mistakes these black circles for the creature's eye it aims or tries to hit the eye but all that it gets is a bit of the wing,95.2
5a17a_EN-OL-RC-538_2,5a17a,Female,5,2,if you look at the picture butterflies you will find that many of them have a large black circles on their wings this look like eyes this eyes are very useful to the butterfly they help it to escape from its एमिनीस a bird a लिज़ार which is trying to catch a butterfly mistakes these black of the क्रेचर eyes it aims or tries to hit the eye but all that it gets is a bit of the wing,47.71
5a16k_EN-OL-RC-538_1,5a16k,Female,5,1,butterflies are surely some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colour of their wings if you look at a butterfly's wings through a magnifying glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings should would be transparent the colours on the wings make very fine patterns,30.68
5a17a_EN-OL-RC-538_1,5a17a,Female,5,1,eyes are surely some of the most beautiful creatures in the world they are beautiful because of the brilliant colours of their wings if you look आठ the beautiful be beautiful because of the ब्रिलन colours of their wings if you look at the butterfly wings through a magnifying glass you will see that they are covered with very small scales it is they their scales which have colour without these scales the रिस wings शुल with ट्रान्सवेन्ट the colours on the wings make very fine patterns,41.21
5b51c_EN-OL-RC-538_1,5b51c,Female,5,1,butterflies are surely some of the most beautiful creatures in the world they a beautiful because of the brilliant colours of their wings if you look at a butterfly's wings throw a magnifying glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings would be transparent the colours on the wings make very fine patterns,52.19
5a4c_EN-OL-RC-538_2,5a4c,Female,5,2,if you look a picture of butterflies you will find the that many of them have large back circles on their wings this look like eyes this eyes are very useful to the butterfly they help it to escape from its एमेन्स a bird or a lizard which is trying to catch a butterfly mistakes this back सर्क circle ऑ of for the क्रिएचर eyes it ऍम्स of try to hit इ the eyes but all that it gets a bite for the wings,86.0
5a67j_EN-OL-RC-538_1,5a67j,Female,5,1,butterflies are some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colours of their wings if you look at the butterfly's wings thought a मैगनीफ्लाइंग glass you will see that they are count वीट very small scales it is these scales which have colour without these scales that the wings would be transparent the colour on the wings make very fine parents patterns,57.39
5a1g_EN-OL-RC-538_1,5a1g,Male,5,1,butterflies are surely some of the most butterfly क्रेटस in creatures in the world they are ब beautiful because of the brilliant colours of their wings if you look at the butterfly's wings through a magnifying glass you will see that they कल are covered with very small स्केस in it is these skins which have colours without these skins an the wings would be ट्रन्सपर्ट transparent the colours on the wings make very fine patterns,31.7
5a22a_EN-OL-RC-538_1,5a22a,Male,5,1,butterflies are surely some of the most beautiful क्रिएचर्स in the world they are beautiful because of the ब्रिल be brilliant colours of their wings if you look at a butterfly's wing through a magnifying glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings could be transparent the colours of the colours on the wings make very fine patterns,63.44
5d28c_EN-OL-RC-538_2,5d28c,Male,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemies a bird or a लिजाड which is trying to catch a butterfly mistakes these black circles for the क्रिएचर्स eyes it aims or a tries to hit the eye but but all that it gets is a bit of the wing,90.03
5b50c_EN-OL-RC-538_2,5b50c,Female,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they help to it to escape from its enemies a bird or a लिजाड which is trying to catch a butterfly mistakes these black circles for the क्रिएचर्स eyes it aims or tries to hit the eye but all that it gets is a bit of the wing,31.76
5c30a_EN-OL-RC-538_2,5c30a,Male,5,2,if you look at the pictures of butterflies you will find that many of them have large black circles of their on their wings this these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemies a bird or a लिज़ार्ड which is trying to catch a butterfly mistakes these black circles for the क्रेचर्स eyes it aims of ट्रायर tries to hit the eye but all that it gets is a bite,61.24
5a3a_EN-OL-RC-538_2,5a3a,Female,5,2,if you look at pictures of butterflies you will find that many of them have large black circle on their wings this look like eyes this eyes are very useful to butterfly they help it to escape from its enemies a bird or a लिजार्ड which is trying to catch a butterfly mistake this black circle for the क्रिएचर्स eyes it aims or try tries to hit the eyes but all that it get is a bit of the wing,80.18
5a41k_EN-OL-RC-538_1,5a41k,Male,5,1,butterflies are surely some of the most beautiful क्रिएचर in the world they are beautiful because of the brilliant colour of their wings if you look at a butterfly's wings through a magnifying glass you will see that they are covered with very small scales it is these scales which have colours without these scales the wings would be transparent the colour on the wings make very fine patterns,37.19
5d12c_EN-OL-RC-538_1,5d12c,Female,5,1,butterflies are surely some of the most beautiful creatures in the world they are beautiful because of the brilliant colours of their wings if you look at a butterfly's wings through a magnifying glass you will see that they are covered with very small skills it is these skills which have colour without these skills the wings would be transparent the colours on the wings make very fine pattern,81.38
5a23c_EN-OL-RC-538_2,5a23c,Male,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemies a bird or a लिजाड which is trying to catch a butterfly mistakes these black circles for the क्रिएचर eyes it aims or tries to hit the eye but all that it gets is a bit of the wing,79.6
5b25f_EN-OL-RC-538_1,5b25f,Male,5,1,butterflies are surely some of the most beautiful क्रे क्रेचर्स in the world they are beautiful because of the brilliant colour of their wings if you look at a butterfly's wings through a magnifying glass you will see that they are covered with very small scale it is these scales which have colour without these scales the wings would be transparent the colours on the wings make very fine patterns,74.86
5b7k_EN-OL-RC-538_2,5b7k,Female,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings these look like eye these eyes are very useful to the butterfly they help it to escape from its enemies a bird or a लिज़ार्ड which is trying to catch a butterfly mistakes these black circles for the क्रिएचर्स eye it aims or tries to hit the eye but all that it gets is a bit of the wing,33.7
5b41f_EN-OL-RC-538_2,5b41f,Male,5,2,if you look at pictures of butter files you will find the that many of think you have large colours में large black colour circles on their wings these these look like eyes these eyes are very useful to the ब butterfly they help it to एक्सपेग from its enemies a bird ऑ or a लिज़ार्ड which a trying to catch a butterfly mistakes these black circle for the क्रेचर्स eyes at aims or tries to hit the eyes eye but but all the that it gets इ a bit of the wing,100.0
5d12c_EN-OL-RC-538_2,5d12c,Female,5,2,if you look at pictures of butterflies you will find many of them have large black circles on their wings these look like eye these eyes are very useful to the butterfly they help it to escape from its enemies a bird or a lizard which is trying to catch a butterfly mistakes these black circles for the creature's eyes it aims or tries to hit the eye but all that it guess is a bit of the wing,69.26
5c26c_EN-OL-RC-538_1,5c26c,Male,5,1,butterflies are सॉरली surely some of the most beautiful क्रिएचर्स in the world they are beautiful because of ब्रिंलियंट colours of their wings if you look at a butterfly's wings through a magnifying glass you will see that they are covered with very small scales it is these scales which have colour without the scales the wings would be transparent the colour of wings make very fine patterns,97.85
5a11j_EN-OL-RC-538_2,5a11j,Male,5,2,if you look at picture of butterflies you will find that many of them have large black circles on their wings this look like eyes this eyes are very useful to the butter butterfly they help in it to एक्स एक्सेप from its enemies a bird or a लिजाड which is trying to catch to butterfly mistakes these black circles for the क्रॅयचर eyes with an aims or tries to hit the eye but all that it gets is a bit of the wing,78.23
5a33h_EN-OL-RC-538_1,5a33h,Female,5,1,butterflies are सोरोली some of the most beautiful creators in the world they are beautiful because of the brilliant brilliant colours of their wings if you look at a butterfly's wings through a मॅजीन मॅग्निफ्लेइंग flying glass you will see that they are covered with very small स्कॅल scales it is this scales which have colour without these scales the wings would be ट्रांस परंट the colours on the wing make every fine pattern,94.32
5a7k_EN-OL-RC-538_1,5a7k,Male,5,1,butterflies are surely some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colours of their wings if you look at a a butterfly's wings thought a magnifying glasses you will see that they are covered with very small skills it is this scales which have colours without these skills the wings would be transparent the colour colour on the wings make very fine patterns,26.47
5d24c_EN-OL-RC-538_1,5d24c,Male,5,1,butterflies are surely one of some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colours of their wings if you look at a butterfly's wings through a magnifying glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings would be transparent the colours on the wings make a very fine patterns,95.08
5b37a_EN-OL-RC-538_1,5b37a,Male,5,1,butter files are सोअरली some of the most beautiful in the world they are beautiful because of the brilliant colours of their wings if you look at the butterfly's wings throw a many flying glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings would be transparent the colours on wings make very fine patterns,92.18
5c17c_EN-OL-RC-538_1,5c17c,Female,5,1,butterflies are surely some of the most beautiful क्रेचर in the world they are beautiful because of the brilliant colours of the their wings if you look at a butterfly's wings थॉ a manufacturing glass you will see that they are covered with very small scales it a it is these scales which have colour without these scales the the wings would be transparent the colour on the wings make very fine pattern,83.62
5b4a_EN-OL-RC-538_1,5b4a,Female,5,1,butterflies are surely some of the most beautiful क्रिएचर्स in the world they are beautiful because of brilliant colours of their wings if you look at butterfly's wings throw a मेनीफ्लाईग glass you will see that they are cover with very small scales it is this scales with have which have colour without this scales the wink wings would be trans परन्ट the colours on the wings make very fine patterns,57.2
5a29k_EN-OL-RC-538_2,5a29k,Female,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings this look like eyes this eyes are very useful to the butterfly they help it to escape from its enemies a bird or a lizard which is trying to catch a butterfly mistakes these black circles for the क्रिएचर्स eyes it आ it aims or tries to hit the eye but all that it gets is a bit bit of the wing,56.26
5b1c_EN-OL-RC-538_2,5b1c,Female,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemies a bird or a लिज़ार which is trying to catch a butterfly mistakes these black circles for the क्रिएचर्स eyes it aims or tries to hit the eye but all that it guess is a bit of दम wing,82.93
5a44k_EN-OL-RC-538_1,5a44k,Female,5,1,butterflies are surely some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colours of their wings if you look at a butterfly's wings through a magnifying glass you will see that they are covered with very small skills it it these skill which have colour without these skills the wings would be ट्रांसपोरेन्ट the colour on the wings make very fine पॅ patterns,60.87
5a14k_EN-OL-RC-538_1,5a14k,Male,5,1,butterflies are surely some of the most beautiful क्रिएचस in the world they are beautiful because of the brilliant colours of their wings if you look at a butterfly's wing throw a मॅग्लिफ्लाय glass glasses you will see that they are covered with very small scales it is these scales which have colour without these scales the wing wings world world be transparent the colours on the wings make your फाइंग प्रिटेंग्स,89.54
5b6c_EN-OL-RC-538_1,5b6c,Female,5,1,butterflies are surely some of the most beautiful key creatures in the world they are beautiful because of the brilliant colours of their wings if you look at the butterfly's wings see thought a meaning full glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings would be transparent the colours on the wings make very fine prints,59.29
5a43c_EN-OL-RC-538_1,5a43c,Male,5,1,butterflies are surely some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colours of their wings if you look at the butterfly's wings through a magnifying glass you will see that they are covered with very small scales it is these scales which have colours without these scales the wings would be transparent the colours on the wings make very fine patterns,97.17
5a40c_EN-OL-RC-538_2,5a40c,Male,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemies a bird or a lizard which is trying to catch a butterfly mistakes these black कल circles for the creature eyes it aims or tries to hit the eye but all that it gets it a bite of the wing,62.86
5a32f_EN-OL-RC-538_1,5a32f,Male,5,1,बटरफ्राईज are surely some of the most beautiful क्रिएचर in the world they are beautiful because of the brilliant colour of their wings if you look at a बटरफ्राय wings through a magnifying glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings would be transparent the colours on the wings make very fine patterns,43.86
5a15j_EN-OL-RC-538_1,5a15j,Female,5,1,butterflies are surely some of the most beautiful creatures in the world they are beautiful because of the ब्रि brilliant colours of their wings if you look at the butterfly's wing throw a मॅग्निफियुल glass you will see that they are covered with very small स्काल्स it is these scales which have colour without these scales the wings would be transparent the colour on the wings make very fine patterns,51.48
5d4c_EN-OL-RC-538_1,5d4c,Female,5,1,us are सोअर्ली some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colours of their wings if you look at a butterfly's wings through a many pulling glass you will see that they are covered with very small scales it is these scale which have coloured without these scales the wings would we transparent the colours of the wings make very fine pattern,67.0
5c42g_EN-OL-RC-538_1,5c42g,Male,5,1,butterflies are surely some of the most क्रिएचर in the world they are beautiful because of the brilliant colours of their wings if you look at the at the butterfly's wings through a magnifying glass you will see that they are covered with very small skills it it is this scales which have colour without these skills the wings would be transparent the colours on the wings make very fine patterns,31.0
5b37c_EN-OL-RC-538_2,5b37c,Male,5,2,if you look at the pictures of butterfly you will find that many of them have large ब्लॅ black circus on the wings these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemies a bird or a लिज्याद which is trying to catch a butterfly mistakes these black सर्केस for the creature's eyes it aims or tries to hit the eye but all that it gets is bit of the wing,52.9
5b17c_EN-OL-RC-538_2,5b17c,Female,5,2,if you look at pictures of butterflies you will find that many of them have large black circles हॉन their wings this look like eyes these eyes are very useful to the butterfly they help it to accept from its enemies a bird of a लिजार्ड which is trying to catch a butterfly mistakes these black circles for the करचर eyes it ऍनिम it ऍमन्स or tries to hit the eye but all that it get is a bit of the wing,88.74
5a3f_EN-OL-RC-538_2,5a3f,Female,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings this look like eyes these eyes are very useful to the butterfly they help it to escape from its enemy a bird or a लिजाड which is trying to catch a butterfly mistake these black circles for the क्रिएचर्स eyes it aims or tries to hit the eye but all that it gets is a bit of the wing,96.76
5b41c_EN-OL-RC-538_1,5b41c,Male,5,1,butterflies are surely some of the most beautiful क्रेचर्स in the world they are beautiful because of the brilliant colours of their wings if you look at a butterfly's wings through a magnifying glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings would be transparent the colours on the wings make very fine patterns,87.63
5a34k_EN-OL-RC-538_2,5a34k,Female,5,2,if you look at a picture of butterflies you will find that many of them have large black circles on their wings this look like eyes these eyes are very useful to the butterfly they help it to as एस्केस from its enemies a bird or a ल्याजर्ड which is trying to catch a butterfly mistakes this black circles for the क्रिएचर्स eyes it ऐनीमिन्स एम्स or trees to hit the eyes but all that it gets is a bit of the wings,80.61
5b28c_EN-OL-RC-538_1,5b28c,Male,5,1,butterflies are सर्ली some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colours of their wings if you look at butterfly's wings through a मै flying glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings would be transfer the colour on the wings make very fine,47.1
5a28k_EN-OL-RC-538_1,5a28k,Male,5,1,butterflies are surely some of the most beautiful क्रिएचर्स in the word they are beautiful because of the ब्रैलेन्ट colours of their wings if you look at a beautiful wings other a मेनीफाईन glass you will see that they are cover with very small scale it is these scale which have colour without these scale the wings of could be transport the colours on the wings making very मेगनी अ फाईन patterns,88.77
5b21g_EN-OL-RC-538_2,5b21g,Male,5,2,if you look at the pictures of butterflies you will find that many of them have large black circle on their wings these look like eyes these eyes are very useful to the butterfly they help to it to escape from it enemies a bird or a लिजआड which is trying to catch a butterfly mistakes these black circles for the क्रिएचर eyes it aims or trees to hit the eye but all that it get is a bit of the wing,86.17
5a38d_EN-OL-RC-538_2,5a38d,Male,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemies a bird or a लिज़ार्ड which is trying to catch a butterfly mistakes these black circles for the क्रिएचर्स eyes it aims or tries the eye but all that it gets is a bit of the wing,100.0
5a30c_EN-OL-RC-538_2,5a30c,Male,5,2,if you look at the pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemies a bird or a lizard which is trying to catch a butterfly mistakes these black circles for the creature eyes it aims or tries to hit the eye but all that it gets a bit of a wing,94.15
5a46k_EN-OL-RC-538_1,5a46k,Female,5,1,butterflies are surely some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colours of their wings if you look at a butterfly's wings through a magnifying glass you will see that they are covered with very small skills scales it is these scales which have colour without these scales the wing would be transparent the colours on the wings make very fine patterns,28.59
5d44c_EN-OL-RC-538_2,5d44c,Male,5,2,if you look at the pictures of butterflies you will find that many of them have large black circles on their wings this look likes eyes these eyes are very useful to the butterfly they help it to escape from its enemies a bird of a लिजा्ड which is trying to catch a butterfly mistakes the these black circles for the क्रे क्रेचर eyes it aims to ties to hit the eye but all that he it gets it a bit of the wings,71.98
5a16k_EN-OL-RC-538_2,5a16k,Female,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wing these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemy a bird or a लिजाड which is trying to catch a butterfly mistakes these black circles for the क्रिएचर्स eye it aims or tries to hit the eye but all that it gets a bit of the wing,44.11
5b30c_EN-OL-RC-538_1,5b30c,Male,5,1,butterflies are surely some of the most beautiful creatures in the world they are beautiful because of the brilliant colours of their wings if you look at the butterfly's wings through a magnifying glass you will see the द्या covered with very small किल्स it is scales which have colour without these scales wings would be transparent the colours on the wings make very fine patterns,56.37
5b51g_EN-OL-RC-538_1,5b51g,Male,5,1,butterflies are surely some of the most beautiful क्रिएचस in the world they are beautiful because of the ब्रि brilliant colours of their wings if you look at a butterfly's wings throw a magnifying glass you will see that they are covered with very small इ scales it is these इ scales which have colour without these इ scales the wings would be transparent the colours on the wings make very fine patterns,58.96
5a24c_EN-OL-RC-538_2,5a24c,Male,5,2,if you look at picture of butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they help it to escape from the एनिमाइज a bird or a lizard which is trying to catch a butterfly mistakes these black circles of the क्रिएचर eyes it aims or tries to hit the eye but all that it gets is a bit of the wing,88.52
5c25c_EN-OL-RC-538_2,5c25c,Male,5,2,if you look at the pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemy a bird or a lizard which is trying to catch the butterfly mistakes them black circles for the क्रिएचर्स eyes its aims or tries to hit the eye but all that it get it is a bit of a wings,100.0
5a38c_EN-OL-RC-538_1,5a38c,Male,5,1,butterflies are surely some of the most beautiful creatures in the world they are beautiful because of the brilliant colours of they wings if you look at a butterfly's wings through a magnifying glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings would be transparent the colours on the wings make very fine patterns,52.3
5a32c_EN-OL-RC-538_2,5a32c,Male,5,2,if you look at pictures of butterflies you will find that many of them have large back colour on their wing there's look like eyes these eyes are very useful to the butterfly there help it to escape from it in miss a bird or a large वीस which is trying to catch a butterfly mistake case they these back colour circles for the क्रीटर ice it आम्स of trees to hit the eye but all that it get in is a bit of,100.0
5c11g_EN-OL-RC-538_2,5c11g,Male,5,2,if you look at the pictures of the butterflies you will find that many of them have large black circles on their wings these look like eyes these eyes are very useful to the butterfly they help it to escape from its enemies a bird or a lizard which is trying to catch a butterfly mistakes these black circles for the creature's eyes it aims or tries to hit the eye but all that it gets is a bit of the wing,78.85
5b40g_EN-OL-RC-538_2,5b40g,Female,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on the on their wings these look like eyes these eyes are very useful to the butterfly they help it it to escape from its enemies a bird or a लिज़ाल which is trying to catch a butterfly mistakes they black circles of the क्रिएचर्स eyes it aims or tries to hit the eye but all that it gets is a bit of the wink,77.91
